intPIPCategoryID,MCNo,AdditionCount,RecipeColorCategory,vcColourNo,RFT
1,N-008F,0,Dark,TNB23-1787D,1
1,N-008F,0,Dark,TNB23-1787D,1
1,N-008G,1,Dark,TNB17-0714A,0
1,N-002B,1,Medium,TNB23-3141A,0
1,N-16A,0,Dark,TNB23-1788E,1
3,N-008H,0,Light,TNB22-0875F,1
3,N-008H,0,Light,TNB22-0875F,1
3,N-008H,0,Light,TNB22-0875F,1
1,N-008D,2,Dark,TNB23-2750F,0
1,N-002B,1,Light,TNB19-2197AA,0
1,N-008L,2,Light,TNB23-2970F,0
1,N-008H,2,Dark,TNB23-3063C,0
3,N-002B,3,Medium,TNB21-0128AA,0
3,N-002B,2,Medium,TNB21-0128AA,0
6,N-006A,1,Dark,TPB23-1582C,0
1,N-008B,0,Dark,TNB17-0500TE,1
3,N-008C,5,Dark,TNB19-2474AG,0
1,N-002B,1,Light,TNB23-0903BO,0
1,N-002A,0,Dark,TNB23-2466M,1
1,N-008L,3,Dark,TNB23-2243F,0
1,N-008L,2,Dark,TNB23-2243F,0
3,N-006A,0,Light,TNB23-0743AQ,1
3,N-006A,1,Light,TNB23-0743AQ,0
1,N-008F,0,Dark,TNB23-1787D,1
1,N-008F,0,Dark,TNB23-1787D,1
3,N-008G,0,Dark,TNB23-0399C,1
3,N-008K,0,Dark,TNB19-2805A,1
3,N-006A,1,Light,TNB23-0597R,0
2,N-008G,0,Dark,TNB17-3479E,1
2,N-008G,0,Dark,TNB17-3479E,1
1,N-008B,0,Dark,TNB18-0500CP,1
1,N-002B,1,Light,TNB19-2197AA,0
1,N-002B,1,Light,TNB19-2197AA,0
3,N-008H,0,Dark,TNB19-0103AD,1
6,N-008A,0,Dark,TPL23-1577C,1
6,N-008A,1,Dark,TPL23-1577C,0
3,N-002A,2,Light,TNB23-2085C,0
3,N-008L,0,Light,TNB21-0996F,1
3,N-008L,0,Light,TNB21-0996F,1
3,N-008G,0,Dark,TNB19-0241LM,1
3,N-006A,0,Dark,TNB23-2746B,1
3,N-002B,3,Dark,TNB22-1628C,0
1,N-008B,2,Light,TNB23-1359A,0
1,N-008D,0,Medium,TNB23-1428N,1
1,N-008A,1,Light,TNB23-3141I,0
3,N-002B,1,Medium,TNB23-2086C,0
1,N-006A,1,Light,TNB23-3171D,0
